"country","numUsers","linesPer100","pop2023"
"Hong Kong",19207578,256.7,7491609
"Maldives",776716,245.92,521020.99999999994
"United Arab Emirates",17132724,203.7,9516871
"Panama",6900000,202.5,4468087
"Montenegro",1117500,180.23,626485
"Sri Lanka",38849812,179.3,21893579
"Finland",9470000,172.6,5545475
"Saudi Arabia",46000000,169.5,36947025
"Lithuania",4940000,167.1,2718352
"Indonesia",385573398,162.28,277534122
"Russia",256116000,155.5,144444359
"Trinidad and Tobago",2060000,151.6,1534937
"Estonia",1904000,150.5,1322765
"Singapore",8106700,150.1,6014723
"Italy",88580000,147.4,58870762
"Sweden",14500000,146.4,10612086
"Bulgaria",10454400,145.2,6687717
"Malaysia",30379000,143.8,34308525
"Argentina",56725200,141.34,45773884
"Brazil",284200000,141.3,216422446
"Nepal",34172058,134.41,30896590
"Morocco",44450000,131,37840044
"Germany",107000000,130.1,83294633
"Iran",96165000,130,89172767
"Latvia",2579000,129.8,1830211
"United Kingdom",83100000,129.6,67736802
"Denmark",7000000,127.5,5910913
"Portugal",13400000,126.87,10247605
"Azerbaijan",7000000,126.2,10412651
"Ukraine",57505555,126,36744634
"Ireland",5770638,125.9,5056935
"Poland",47153200,123.48,41026067
"Romania",26000000,123.45,19892812
"Taiwan",28610000,123.33,23923276
"Chile",21000000,122.9,19629590
"Israel",9701200,122.8,9174520
"Malta",554651,122.57,535064
"Netherlands",20000000,121.1,17618299
"Guatemala",17571895,119.4,18092026
"Colombia",57900472,118.9,52085168
"Spain",55740000,118,47519628
"South Africa",59474500,117.6,60414495
"Mongolia",3500000,117.4,3447157
"Hungary",11561890,116.7,10156239
"Japan",146649600,115.2,123294513
"France",72180000,114.2,64756584
"China",1598360000,114.17,1425671352
"Philippines",106987098,113.8,117337368
"Belgium",11822000,113.6,11686140
"South Korea",56004887,111.5,51784059
"Ecuador",15900000,111.18,18190484
"New Zealand",4761000,111.1,5228100
"Peru",34235000,109.8,34352719
"Venezuela",32019086,106.15,28838499
"Thailand",69000000,105,71801279
"Zimbabwe",13518887,103.5,16665409
"United States of America",327577529,103.1,339996563
"Jordan",6010000,101,11337052
"Bangladesh",165615000,98.18,172954319
"Egypt",95340000,95.38,112716598
"Nigeria",167371945,94.5,223804632
"Algeria",33000000,94.2,45606480
"India",1281971713,93.1,1428627663
"Turkey",72200000,92.5,85816199
"Mexico",101339000,90.2,128455567
"Australia",20570000,87.6,26439111
"Canada",31210628,84.6,38781291
"Pakistan",165405847,79.61,240485658
"Vietnam",72300000,79,98858950
"Kenya",28080000,71.3,55100586
"Lebanon",2720000,64.4,5353930
"Ethiopia",18000000,21.8,126527060
"North Korea",3000000,12.3,26160821
"Cuba",1300000,11.6,11194449