"country","iosMarketShare","androidMarketShare","pop2023"
"North Korea",99.49,0.51,26160821
"Tokelau",95.44,4.56,1893
"Bermuda",92.32,7.49,64069
"Faroe Islands",92.23,7.68,53270
"American Samoa",85.85,14.03,43914
"Niue",79.86,20.14,1935
"Saint Pierre and Miquelon",70.6,29.16,5840
"Monaco",69.42,30.47,36297
"Jersey",67.65,31.77,111802
"Guernsey",67.51,32.02,63544
"Wallis and Futuna",66.68,33.26,11502
"Japan",65.88,33.98,123294513
"Liechtenstein",64.93,34.74,39584
"Denmark",64.04,35.5,5910913
"Andorra",62.84,36.75,80088
"Macau",62.11,35.89,704149
"Norway",61.94,37.59,5474360
"Isle of Man",60.92,38.66,84710
"United States Virgin Islands",59.53,40.13,98750
"Canada",57.84,41.53,38781291
"Australia",57.47,41.15,26439111
"Turks and Caicos Islands",57.25,42.47,46062
"Guam",57.24,42.12,172952
"United States of America",56.74,42.94,339996563
"Switzerland",55.92,43.21,8796669
"Sweden",55.33,44.13,10612086
"Greenland",55.1,44.47,56643
"Cayman Islands",55.02,44.15,69310
"Puerto Rico",52.98,46.33,3260314
"United Kingdom",51.63,47.8,67736802
"Albania",51.54,48.25,2832439
"Belize",51.41,48.29,410825
"Taiwan",51.32,46.9,23923276
"Iceland",51.03,48.19,375318
"Bahamas",50.51,49.17,412623
"British Virgin Islands",50.39,49.17,31538
"Gibraltar",49.5,49.74,32688.000000000004
"Ireland",48.07,51.49,5056935
"Anguilla",46.8,52.66,15899
"New Zealand",46.34,52.27,5228100
"Hong Kong",46.03,50.91,7491609
"Saudi Arabia",46.01,53.87,36947025
"Kuwait",45.9,53.49,4310108
"Aruba",45.78,53.75,106277
"Belgium",45,54.19,11686140
"Cambodia",43.9,55.7,16944826
"Luxembourg",40.53,58.88,654768
"Cook Islands",40.52,59.13,17044
"Turkmenistan",40.44,59.49,6516100
"Netherlands",40.31,59.02,17618299
"Seychelles",40.03,59.66,107660
"Vatican City",39.62,59.16,518
"Austria",39.49,59.58,8958960
"Mongolia",38.29,61.19,3447157
"Germany",37.67,59.79,83294633
"Estonia",36.74,62.74,1322765
"Finland",36.44,62.85,5545475
"French Polynesia",36.06,63.21,308872
"Malta",35.7,63.66,535064
"San Marino",35.69,63.69,33642
"France",35.49,63.94,64756584
"Maldives",34.58,65.3,521020.99999999994
"Palau",32.95,66.75,18058
"Guadeloupe",32.17,67.36,395839
"Northern Mariana Islands",31.83,65.87,49796
"Bahrain",31.76,67.96,1485509
"Dominican Republic",31.14,68.5,11332972
"Martinique",30.65,69.01,366981
"Saint Kitts and Nevis",29.8,69.52,47755
"South Korea",29.79,69.83,51784059
"Brunei",29.66,69.31,452524
"Latvia",29.32,69.83,1830211
"Italy",29.31,70.22,58870762
"Vietnam",28.96,70.62,98858950
"Reunion",28.88,70.71,981796
"Armenia",28.48,71.16,2777970
"Montserrat",28.27,71.24,4386
"Barbados",27.69,71.44,281995
"Thailand",27.47,72.19,71801279
"Portugal",27.1,72.46,10247605
"Slovenia",27.09,72.35,2119675
"Malaysia",27.04,71.44,34308525
"Belarus",26.66,73.1,9498238
"Antigua and Barbuda",26.66,72.83,94298
"New Caledonia",26.61,72.77,292991
"Russia",26.16,73.49,144444359
"Lithuania",26.03,73.36,2718352
"United Arab Emirates",25.83,73.85,9516871
"Israel",25.79,73.83,9174520
"Kazakhstan",25.76,74.04,19606633
"Jamaica",25.41,73.93,2825544
"Oman",25.34,74.4,4644384
"French Guiana",25.22,74.24,312155
"Senegal",25.19,74.43,17763163
"Ivory Coast",25.18,73.6,28873034
"Serbia",25.11,74.6,7149077
"Georgia",25.08,73.92,3728282
"Micronesia",24.89,74.64,115224
"Grenada",24.86,74.83,126183
"Equatorial Guinea",24.65,74.38,1714671
"China",24.32,74.98,1425671352
"Czech Republic",24.21,75.23,10495295
"Singapore",24.01,75.24,6014723
"Montenegro",23.98,75.62,626485
"Slovakia",23.91,75.07,5795199
"Iraq",23.31,76.49,45504560
"Lebanon",23.14,76.52,5353930
"Trinidad and Tobago",23.09,75.8,1534937
"Cyprus",23.07,76.29,1260138
"Ghana",22.93,75.61,34121985
"Saint Lucia",22.9,76.77,180251
"Qatar",22.62,77.13,2716391
"Falkland Islands",22.26,77.58,3791
"Romania",22.15,77.52,19892812
"North Macedonia",22.11,77.59,2085679
"Gambia",22.01,77.3,2773168
"Morocco",21.97,77.32,37840044
"Costa Rica",21.84,77.87,5212173
"Spain",21.4,78.09,47519628
"Hungary",21.02,78.25,10156239
"Mauritania",20.98,78.81,4862989
"Moldova",20.32,79.4,3435931
"Tonga",20.14,79.4,107773
"Saint Vincent and the Grenadines",20.06,79.15,103698
"Mexico",19.93,79.78,128455567
"Afghanistan",19.89,79.74,42239854
"Laos",19.32,80.43,7633779
"Mali",19.27,80.03,23293698
"Jordan",19.15,80.66,11337052
"Honduras",18.74,80.79,10593798
"Suriname",18.62,80.44,623236
"Cape Verde",18.44,81.13,598682
"Ukraine",18.42,81.26,36744634
"Greece",17.8,80.99,10341277
"Panama",17.73,81.91,4468087
"Azerbaijan",17.66,81.38,10412651
"Guyana",17.55,81.77,813834
"Chile",16.76,82.9,19629590
"Croatia",16.67,82.84,4008617
"Rwanda",16.56,76.43,14094683
"South Africa",16.5,83.11,60414495
"Republic of the Congo",16.43,82.48,6106869
"Angola",16.13,83.05,36684202
"Guinea",16.06,76.05,14190612
"Uruguay",16.01,83.8,3423108
"Guatemala",15.92,83.84,18092026
"Dominica",15.76,82.77,73040
"Turkey",15.74,83.96,85816199
"Samoa",15.5,84.21,225681
"Liberia",15.17,79.07,5418377
"Bulgaria",14.97,84.76,6687717
"Haiti",14.52,85.39,11724763
"Brazil",14.45,85.33,216422446
"Djibouti",14.32,85.38,1136455
"Namibia",13.86,85.41,2604172
"Egypt",13.81,85.97,112716598
"Sao Tome and Principe",13.74,85.96,231856
"Gabon",13.64,85.51,2436566
"Cameroon",13.38,84.12,28647293
"Zimbabwe",13.36,84.87,16665409
"Ecuador",13.35,86.22,18190484
"Marshall Islands",13.08,86.74,41996
"Mayotte",12.95,86.82,335995
"Somalia",12.87,86.78,18143378
"Kyrgyzstan",12.8,87.1,6735347
"Tajikistan",12.58,87.12,10143543
"Bhutan",12.58,87.32,787424
"Mauritius",12.44,87.05,1300557
"El Salvador",12.24,87.48,6364943
"Timor-Leste",11.79,88.11,1360596
"Myanmar",11.6,88.07,54577997
"Sri Lanka",11.41,88.37,21893579
"Colombia",11.24,88.4,52085168
"Nicaragua",11.18,88.52,7046310
"Benin",11.04,85.4,13712828
"Bosnia and Herzegovina",10.97,88.58,3210847
"Nigeria",10.94,84.34,223804632
"Fiji",10.58,89.07,936375
"Poland",10.57,89.2,41026067
"Libya",10.48,89.31,6888388
"Philippines",10.43,88.95,117337368
"Mozambique",9.95,86.86,33897354
"Uzbekistan",9.83,89.92,35163944
"Togo",9.71,89.09,9053799
"Sierra Leone",9.67,85.48,8791092
"DR Congo",9.53,75.33,102262808
"Botswana",9.45,90.12,2675352
"Indonesia",9.43,90.47,277534122
"Chad",9.34,90.23,18278568
"Zambia",8.98,87.38,20569737
"Comoros",8.86,90.66,852075
"Niger",8.8,90.35,27202843
"Cuba",8.73,91.12,11194449
"Nepal",8.43,91.5,30896590
"Peru",8.14,91.36,34352719
"Tunisia",8.13,91.56,12458223
"Argentina",7.97,91.82,45773884
"Tanzania",7.75,78.46,67438106
"Vanuatu",7.54,91.48,334506
"Paraguay",7.34,92.44,6861524
"Burkina Faso",7.25,90.66,23251485
"Sudan",6.9,88.61,48109006
"Iran",6.82,92.93,89172767
"Uganda",6.53,78.26,48582334
"Pakistan",5.9,93.32,240485658
"Venezuela",5.85,93.83,28838499
"Solomon Islands",5.84,93.93,740424
"Algeria",5.81,93.98,45606480
"Nauru",5.49,94.39,12780
"Bolivia",5.37,94.22,12388571
"Ethiopia",5.33,91.73,126527060
"Burundi",4.95,84.25,13238559
"Tuvalu",4.83,95.17,11396
"Central African Republic",4.46,84.97,5742315
"Madagascar",4.36,93.23,30325732
"India",3.92,95.26,1428627663
"Kiribati",3.85,95.88,133515
"Lesotho",3.8,95.2,2330318
"Bangladesh",3.7,95.74,172954319
"Malawi",3.7,93.17,20931751
"Syria",3.66,95.87,23227014
"Kenya",3.43,90.67,55100586
"Papua New Guinea",2.83,96.87,10329931
"Eritrea",2.57,90.94,3748901
"Yemen",2.17,95.61,34449825
"Western Sahara",1.6,98.35,587259